,TEAM,ADJOE,ADJDE,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,playoffs_binary,CONF_A10,CONF_ACC,CONF_AE,CONF_ASun,CONF_Amer,CONF_B10,CONF_B12,CONF_BE,CONF_BSky,CONF_BSth,CONF_BW,CONF_CAA,CONF_CUSA,CONF_Horz,CONF_Ivy,CONF_MAAC,CONF_MAC,CONF_MEAC,CONF_MVC,CONF_MWC,CONF_NEC,CONF_OVC,CONF_P12,CONF_Pat,CONF_SB,CONF_SC,CONF_SEC,CONF_SWAC,CONF_Slnd,CONF_Sum,CONF_WAC,CONF_WCC,CONF_ind,OpEx,OpRev
0,Virginia 2019,123.0,89.9,55.2,44.7,14.7,17.5,30.4,25.4,29.1,26.3,52.5,45.7,39.5,28.9,60.7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13764636,13200301
1,North Carolina 2019,120.1,91.4,52.9,48.9,17.2,18.3,35.3,22.8,30.2,28.4,52.1,47.9,36.2,33.5,76.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11307115,27185676
2,Michigan 2019,114.6,85.6,51.6,44.1,13.9,18.0,24.7,24.8,27.5,24.1,51.8,44.3,34.2,29.1,65.9,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9874360,21114322
3,Kentucky 2019,117.5,89.8,53.0,46.6,18.6,17.9,36.8,25.5,41.9,26.8,52.9,43.6,35.4,34.3,66.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19731734,38829661
4,Tennessee 2019,122.8,95.2,55.3,48.1,15.8,18.0,31.6,30.2,33.3,34.9,55.4,44.7,36.7,35.4,68.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13821147,17600763
5,Texas Tech 2019,115.2,85.2,53.5,43.0,17.7,22.8,27.4,28.7,32.9,36.6,52.8,41.9,36.5,29.7,67.5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12607305,12742899
6,Purdue 2019,122.8,94.3,53.6,49.0,15.8,18.6,34.5,27.0,29.9,31.7,51.5,47.2,37.4,34.2,67.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9604624,18017191
7,Houston 2019,115.7,90.5,52.1,42.5,16.5,18.2,34.4,26.0,31.6,37.3,51.3,43.0,35.5,27.9,67.3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9219797,1532525
8,LSU 2019,117.9,96.6,51.2,49.9,17.9,20.1,36.7,30.8,37.1,33.1,52.9,49.4,31.9,33.7,71.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9512515,9965537
9,Virginia Tech 2019,117.8,93.4,55.6,49.0,17.3,21.6,29.6,27.2,31.9,26.3,52.9,49.0,39.4,32.7,65.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9692567,11780790
10,Kansas 2019,112.9,92.4,52.6,47.8,18.8,18.2,30.1,27.9,32.5,27.8,52.6,46.0,35.0,33.6,71.5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12576038,18923740
11,Auburn 2019,121.3,95.2,54.4,51.7,16.8,24.6,31.6,32.8,30.9,36.4,51.7,51.4,38.1,34.8,69.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10536654,15593947
12,Wisconsin 2019,108.2,88.6,51.1,45.2,14.6,17.2,24.5,26.5,27.3,25.8,49.7,44.1,35.9,31.5,65.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8572032,21701869
13,Maryland 2019,111.6,93.3,51.4,45.9,19.4,14.1,34.1,24.8,32.8,26.6,50.8,44.7,34.9,31.9,67.7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9163793,14059425
14,Buffalo 2019,113.6,95.3,53.4,47.3,16.0,20.3,31.7,26.9,32.7,31.9,55.7,49.3,33.7,29.3,74.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3796708,3796710
15,Louisville 2019,112.9,93.1,50.9,46.7,17.5,16.1,29.1,25.9,34.9,32.0,50.6,46.0,34.2,32.0,68.6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19029267,42759248
16,Cincinnati 2019,112.3,93.8,49.0,48.6,16.0,20.9,37.4,29.3,37.6,30.5,47.6,45.1,34.5,35.5,65.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7653810,7137270
17,Nevada 2019,112.5,95.9,53.7,47.7,14.6,19.2,27.2,24.9,40.8,28.0,54.9,46.3,34.7,33.2,70.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4706010,8539770
18,UCF 2019,112.7,93.3,52.9,45.4,17.6,18.0,29.5,29.6,45.3,29.2,52.0,44.5,36.5,31.3,66.4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5109134,3944659
19,Oklahoma 2019,110.5,93.1,50.4,47.5,17.0,17.3,25.8,27.8,31.3,23.1,49.7,45.8,34.6,33.3,70.3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10062964,10619283
20,Washington 2019,105.6,93.1,52.1,47.5,19.8,24.2,29.1,34.9,34.7,34.0,51.9,46.0,35.0,33.4,67.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9224123,11409380
21,Florida 2019,110.3,91.6,49.8,48.1,17.9,22.4,30.6,32.2,29.9,33.6,49.5,48.5,33.4,31.6,64.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9717387,12172678
22,Iowa 2019,116.1,100.6,52.7,51.5,17.2,18.4,29.8,29.4,42.3,28.8,51.4,53.5,36.4,32.4,70.9,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8439677,12463007
23,Minnesota 2019,110.4,96.3,48.2,49.5,17.1,16.9,31.4,28.4,41.6,28.2,48.5,48.7,31.7,34.0,68.8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9119638,18808666
24,Oregon 2019,108.1,91.7,52.0,46.4,17.8,20.9,29.6,28.8,29.4,33.9,51.6,48.8,35.1,29.0,65.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10348630,10918130
25,Old Dominion 2019,99.3,94.6,47.2,45.6,17.8,18.5,32.1,24.8,28.9,32.4,44.1,43.5,34.9,32.4,65.9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3953002,2893763
26,Texas 2019,113.3,93.7,50.9,48.7,16.2,18.9,28.1,29.5,29.7,29.7,49.8,46.2,34.8,35.4,66.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11449423,16707533
27,Clemson 2019,107.2,90.3,50.7,47.6,19.7,19.8,27.8,24.5,33.5,30.0,51.5,44.4,32.8,35.0,67.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8245384,10100379
28,Nebraska 2019,112.5,98.1,49.2,48.1,14.3,19.3,28.5,32.1,33.0,30.0,48.6,46.9,33.4,33.8,68.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9387456,15249679
29,Arkansas 2019,109.3,96.7,51.0,49.4,18.3,22.5,28.3,34.8,38.4,41.7,50.6,48.9,34.5,33.3,71.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10440326,21343281
30,Indiana 2019,107.5,95.2,51.0,48.2,17.9,18.1,28.1,28.1,34.6,29.2,53.1,47.3,31.2,33.1,68.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13366254,27374575
31,Missouri 2019,107.3,95.0,50.5,49.4,21.0,18.1,31.9,25.7,29.8,38.1,47.6,50.6,36.3,31.9,66.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8255259,12586990
32,Memphis 2019,108.1,96.0,51.0,48.6,19.8,21.3,33.4,30.9,37.3,37.5,52.5,48.9,32.2,32.2,75.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9908631,6742393
33,Alabama 2019,107.4,95.6,50.3,48.9,19.5,16.9,31.5,28.0,38.0,29.6,49.9,48.5,34.0,33.3,70.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15966875,16208796
34,South Carolina 2019,107.8,96.3,48.3,49.5,19.2,20.3,31.8,31.1,36.2,39.6,44.9,48.2,36.5,34.2,71.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8561964,11093660
35,Toledo 2019,108.6,97.8,53.2,46.8,17.4,15.4,28.1,25.7,26.1,26.8,50.4,46.6,38.0,31.5,69.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2694919,668863
36,Illinois 2019,109.7,99.1,49.6,52.2,18.4,21.8,29.1,31.9,29.5,42.4,48.2,53.6,34.5,33.0,71.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10480942,21171196
37,Colorado 2019,105.8,95.7,51.0,48.4,19.1,17.4,30.7,23.6,37.2,31.1,52.3,48.8,32.3,31.8,69.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7252985,9420350
38,Rutgers 2019,104.9,96.1,47.0,49.2,19.1,17.4,33.4,27.0,31.7,32.4,47.2,47.0,31.2,35.3,69.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7666729,3052626
39,Texas A&M 2019,106.4,98.3,49.3,49.3,20.0,18.5,32.7,32.5,34.2,27.0,51.0,49.1,30.8,33.1,69.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11818857,12349705
40,West Virginia 2019,108.8,100.7,47.5,52.4,21.3,18.5,36.9,28.7,38.9,38.0,47.6,51.3,31.6,36.1,71.9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11152978,6090611
41,Utah 2019,113.9,106.4,55.0,52.3,19.2,14.7,31.0,27.1,35.5,32.5,54.6,51.7,37.0,35.6,67.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9214550,10744981
42,Georgia Southern 2019,107.3,100.3,54.3,51.4,18.6,20.0,27.4,28.7,35.0,31.3,56.8,51.7,32.4,34.0,74.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1646554,571572
43,UCLA 2019,108.2,101.3,52.0,49.6,19.0,15.1,30.8,27.1,38.2,27.6,51.4,47.9,35.5,34.7,74.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15468379,11959355
44,Arizona 2019,104.0,97.4,49.0,50.9,16.7,20.3,28.4,25.9,33.3,35.0,48.1,51.9,33.6,32.9,68.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10771475,22793125
45,Connecticut 2019,107.8,101.0,51.0,49.6,18.5,20.0,32.3,30.2,32.7,39.2,50.7,49.2,34.4,33.5,70.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9892764,6028141
46,South Florida 2019,101.8,95.4,49.1,48.4,22.6,21.9,36.3,26.8,48.1,43.1,48.5,48.2,33.3,32.5,68.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4926468,2855922
47,Akron 2019,98.4,92.9,48.2,45.5,17.3,19.1,25.1,29.9,27.7,30.6,48.8,46.1,31.7,29.6,67.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3054013,470627
48,Bowling Green 2019,107.5,102.0,50.5,50.8,16.6,17.8,30.7,24.8,34.9,31.1,48.8,50.0,35.8,34.6,71.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2539991,1294345
49,Georgia 2019,105.0,100.0,50.1,48.5,22.5,15.5,32.7,31.0,41.3,29.9,51.1,47.8,32.2,33.2,70.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7756002,10693803
50,Western Kentucky 2019,103.9,99.5,49.9,48.9,19.6,18.5,29.6,28.1,37.9,25.6,50.2,47.0,32.7,34.5,69.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3622159,3622159
51,Georgia Tech 2019,99.9,95.7,49.2,45.7,21.0,18.7,25.3,31.6,34.3,34.8,50.7,46.3,30.7,29.7,68.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7325493,7957408
52,Central Michigan 2019,109.2,105.3,51.4,50.1,16.2,18.7,31.0,33.1,40.0,28.8,48.9,53.6,36.9,29.3,72.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2256795,393875
53,UTSA 2019,104.7,101.6,49.5,49.5,16.4,18.1,26.1,28.4,26.2,35.6,48.0,50.0,34.3,32.5,73.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2312004,632764
54,Coastal Carolina 2019,106.4,104.2,51.8,51.0,19.6,18.0,32.7,28.6,39.4,42.3,49.4,53.1,37.0,32.3,70.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2765347,2765347
55,Northern Illinois 2019,106.6,104.8,52.6,51.9,17.2,17.9,27.2,26.7,26.5,39.1,51.6,50.0,36.5,36.1,67.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1893803,590143
56,Louisiana Tech 2019,103.3,102.1,49.8,49.3,17.0,19.2,29.4,28.8,35.9,30.2,49.3,49.1,33.7,33.0,67.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2513651,2524073
57,UAB 2019,106.2,105.1,50.4,49.4,16.8,17.9,30.6,26.2,31.8,31.6,51.3,48.1,32.6,33.9,66.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3533943,3628668
58,Eastern Michigan 2019,101.4,101.5,48.5,50.8,20.8,20.1,34.3,34.9,33.9,32.0,50.5,50.4,29.9,34.2,64.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2170870,2170870
59,North Texas 2019,97.4,97.6,49.2,47.4,20.1,19.8,30.7,24.4,27.7,37.7,50.5,46.4,31.7,32.8,66.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2847661,397940
60,Marshall 2019,105.5,106.0,51.9,52.0,15.9,20.8,22.9,32.3,30.5,32.4,52.3,51.4,34.2,35.5,75.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3169061,3110866
61,UNLV 2019,104.5,105.3,49.5,51.0,18.6,17.6,35.5,27.7,34.9,31.6,48.8,49.7,33.7,35.7,69.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6224313,7368697
62,Ohio 2019,98.4,100.5,48.6,50.8,20.0,18.5,28.2,27.4,33.2,31.2,50.7,48.9,29.7,35.9,70.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3643824,2855414
63,New Mexico 2019,102.6,104.8,49.5,51.6,19.4,18.3,29.3,28.6,39.3,37.1,47.8,50.8,34.4,35.5,74.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4229611,3739167
64,FIU 2019,101.4,105.1,48.9,53.1,17.7,23.4,25.7,34.4,37.9,35.4,52.2,53.6,29.3,34.8,79.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2029045,728298
65,South Alabama 2019,102.8,106.6,52.9,52.1,19.5,19.7,25.5,31.9,35.1,36.6,51.1,51.3,37.0,35.6,67.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2120082,2321956
66,California 2019,102.9,106.9,48.6,56.9,16.5,20.5,23.3,31.4,34.8,36.1,46.5,56.7,35.0,38.1,68.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6327940,7840731
67,Massachusetts 2019,102.6,108.6,51.1,51.2,20.2,16.8,31.5,27.1,31.3,41.4,50.2,50.6,35.0,35.0,69.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4025395,698975
68,Air Force 2019,99.7,106.1,51.3,53.6,19.3,17.8,23.2,24.1,28.3,28.6,53.1,53.6,32.3,35.7,67.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2673055,1490832
69,East Carolina 2019,98.8,105.2,46.1,51.0,19.0,19.5,28.2,31.0,35.6,41.8,47.7,52.0,28.4,32.9,69.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4064868,845730
70,Western Michigan 2019,98.3,105.0,48.0,52.1,21.7,15.2,29.7,27.6,36.7,29.9,49.4,50.1,30.5,36.9,70.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2243842,975552
71,Middle Tennessee 2019,96.8,103.8,46.7,50.8,22.8,17.5,32.3,28.1,29.6,34.2,45.7,50.5,32.3,34.1,69.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3229351,3229351
72,UTEP 2019,89.0,100.1,45.7,49.4,22.8,19.0,26.7,26.7,34.7,32.9,44.3,46.6,32.0,36.2,69.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4172166,4964771
73,Wyoming 2019,94.2,106.6,49.1,51.7,19.9,17.4,15.9,28.8,39.1,34.4,47.1,51.6,34.5,34.6,69.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3329649,3134136
74,Charlotte 2019,95.0,107.7,48.1,51.3,22.0,17.9,22.3,26.4,36.3,32.6,49.2,49.9,31.1,35.5,65.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3479606,2597320
75,Kansas 2022,119.8,91.3,53.8,,17.3,18.1,32.9,28.6,32.3,27.7,53.6,46.4,36.1,29.8,69.1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15508894,17126971
76,Arizona 2022,118.0,93.7,55.6,,18.3,17.4,34.7,28.6,34.9,24.0,57.0,41.8,35.3,32.8,72.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12527047,26554482
77,Kentucky 2022,119.4,95.4,53.1,,16.7,17.5,37.7,24.9,28.0,25.4,53.5,47.3,34.7,30.8,67.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,22116208,31256132
78,Auburn 2022,111.7,90.0,49.9,,16.7,20.0,33.7,28.9,31.6,34.2,51.3,42.8,31.8,31.0,70.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13813576,17007845
79,Texas Tech 2022,110.5,85.4,52.6,,19.8,23.2,33.2,25.8,35.1,31.9,54.9,44.5,32.1,31.5,66.3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12126476,15590989
80,Tennessee 2022,111.3,87.1,50.7,,17.7,22.9,32.4,27.2,29.0,31.5,48.5,46.0,35.9,31.3,67.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14659954,19193970
81,Purdue 2022,121.6,97.5,56.5,,17.5,14.0,35.2,23.8,38.2,21.6,55.8,48.6,38.4,33.2,66.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8821891,18911360
82,Wisconsin 2022,108.7,93.4,47.7,,13.0,17.0,25.9,24.4,32.4,27.2,48.7,49.0,30.7,32.5,66.4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8849874,15282022
83,UCLA 2022,115.8,92.2,50.6,,13.2,19.4,31.3,25.3,29.5,28.3,49.5,47.3,35.4,32.1,65.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11934793,12736321
84,Illinois 2022,111.9,93.0,52.5,,18.1,15.5,33.1,26.6,32.0,28.2,51.4,45.2,35.9,31.9,67.1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13195872,29764333
85,Arkansas 2022,108.7,90.7,48.6,,16.9,20.5,29.6,25.3,37.2,31.9,50.1,46.8,30.4,32.4,70.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11802170,24004405
86,Houston 2022,116.5,88.5,53.1,,16.9,21.7,37.7,28.0,29.0,34.7,54.5,43.4,33.8,28.8,63.7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9764327,2336025
87,Iowa 2022,121.1,97.2,53.3,,13.0,19.2,32.3,30.0,30.0,26.3,52.5,49.9,36.3,32.9,69.8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10277054,14601251
88,Connecticut 2022,113.2,95.9,49.6,,17.3,18.0,37.9,27.6,30.5,31.7,48.0,42.6,35.2,35.3,65.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24853063,19331359
89,Texas 2022,112.5,91.5,50.1,,17.8,23.0,31.6,29.8,32.0,39.0,50.5,46.6,33.0,31.8,63.5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16176262,23958575
90,LSU 2022,106.3,89.6,49.4,,20.7,25.1,33.8,30.9,33.4,37.8,50.4,47.6,31.6,28.2,68.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9849325,11524430
91,Alabama 2022,115.2,98.3,51.3,,19.8,17.9,35.3,30.5,32.9,34.8,55.9,49.3,30.9,33.8,71.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10900723,19047972
92,North Carolina 2022,114.4,93.5,51.5,,16.4,13.6,31.9,21.6,30.3,21.4,50.1,47.5,35.8,33.7,70.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12445369,32234012
